Spcode,Category,English.Name,Scientific.Name
spofly2,group (polytypic),Spotted Flycatcher (Spotted),Muscicapa striata [striata Group]
spofly3,group (polytypic),Spotted Flycatcher (Mediterranean),Muscicapa striata tyrrhenica/balearica
gamfly1,species,Gambaga Flycatcher,Muscicapa gambagae
swafly3,species,Swamp Flycatcher,Muscicapa aquatica
casfly1,species,Cassin's Flycatcher,Muscicapa cassini
muscic1,spuh,Muscicapa sp.,Muscicapa sp.
boefly1,species,B?hm's Flycatcher,Bradornis boehmi
ussfly1,species,Ussher's Flycatcher,Bradornis ussheri
soofly1,species,Sooty Flycatcher,Bradornis fuliginosus
dubfly2,species,Dusky-blue Flycatcher,Bradornis comitatus
marfly1,species,Mariqua Flycatcher,Bradornis mariquensis
afgfly1,species,African Gray Flycatcher,Bradornis microrhynchus
grafly2,group (monotypic),African Gray Flycatcher (Ethiopian),Bradornis microrhynchus pumilus
grafly1,group (polytypic),African Gray Flycatcher (African Gray),Bradornis microrhynchus [microrhynchus Group]
brador1,spuh,Bradornis sp.,Bradornis sp.
y01003,spuh,Muscicapa/Bradornis sp.,Muscicapa/Bradornis sp.
palfly2,species,Pale Flycatcher,Agricola pallidus
palfly6,group (polytypic),Pale Flycatcher (Pale),Agricola pallidus [pallidus Group]
palfly4,group (monotypic),Pale Flycatcher (Wajir),Agricola pallidus bafirawari
palfly5,group (polytypic),Pale Flycatcher (East Coast),Agricola pallidus subalaris/erlangeri
chafly2,species,Chat Flycatcher,Agricola infuscatus
wbffly1,species,White-browed Forest-Flycatcher,Fraseria cinerascens
afffly1,species,African Forest-Flycatcher,Fraseria ocreata
afrfof1,group (polytypic),African Forest-Flycatcher (Western),Fraseria ocreata prosphora/kelsalli
afrfof2,group (monotypic),African Forest-Flycatcher (Eastern),Fraseria ocreata ocreata
gyttif1,species,Gray-throated Tit-Flycatcher,Fraseria griseigularis
grytif1,species,Gray Tit-Flycatcher,Fraseria plumbea
olifly1,species,Olivaceous Flycatcher,Fraseria olivascens
olifly4,group (monotypic),Olivaceous Flycatcher (Olivaceous),Fraseria olivascens olivascens
olifly5,group (monotypic),Olivaceous Flycatcher (Mt. Nimba),Fraseria olivascens nimbae
chafly1,species,Chapin's Flycatcher,Fraseria lendu
chafly5,group (monotypic),Chapin's Flycatcher (Chapin's),Fraseria lendu lendu
chafly4,group (monotypic),Chapin's Flycatcher (Itombwe),Fraseria lendu itombwensis
tesfly1,species,Tessmann's Flycatcher,Fraseria tessmanni
ashfly1,species,Ashy Flycatcher,Fraseria caerulescens
hercha1,species,Herero Chat,Melaenornis herero
silver1,species,Silverbird,Melaenornis semipartitus
fisfly1,species,Fiscal Flycatcher,Melaenornis silens
yebfly2,species,Yellow-eyed Black-Flycatcher,Melaenornis ardesiacus
nimfly1,species,Nimba Flycatcher,Melaenornis annamarulae
nobfly1,species,Northern Black-Flycatcher,Melaenornis edolioides
sobfly1,species,Southern Black-Flycatcher,Melaenornis pammelaina
wheslf1,species,White-eyed Slaty-Flycatcher,Melaenornis fischeri
angslf1,species,Angola Slaty-Flycatcher,Melaenornis brunneus
abyslf1,species,Abyssinian Slaty-Flycatcher,Melaenornis chocolatinus
grcfly3,species,Grand Comoro Flycatcher,Humblotia flavirostris
ficale3,species,White-tailed Alethe,Alethe diademata
ficale2,species,Fire-crested Alethe,Alethe castanea
kasrob2,species,Karoo Scrub-Robin,Cercotrichas coryphoeus
fosrob1,species,Forest Scrub-Robin,Cercotrichas leucosticta
forscr2,group (polytypic),Forest Scrub-Robin (Forest),Cercotrichas leucosticta [leucosticta Group]
forscr3,group (monotypic),Forest Scrub-Robin (Huila),Cercotrichas leucosticta reichenowi
brsrob1,species,Brown Scrub-Robin,Cercotrichas signata
besrob1,species,Bearded Scrub-Robin,Cercotrichas quadrivirgata
beascr1,group (monotypic),Bearded Scrub-Robin (Bearded),Cercotrichas quadrivirgata quadrivirgata
beascr2,group (monotypic),Bearded Scrub-Robin (Zanzibar),Cercotrichas quadrivirgata greenwayi
misrob1,species,Miombo Scrub-Robin,Cercotrichas barbata
blsrob1,species,Black Scrub-Robin,Cercotrichas podobe
rutscr1,species,Rufous-tailed Scrub-Robin,Cercotrichas galactotes
rtsrob1,group (polytypic),Rufous-tailed Scrub-Robin (Rufous-tailed),Cercotrichas galactotes [galactotes Group]
afrscr1,group (polytypic),Rufous-tailed Scrub-Robin (African),Cercotrichas galactotes minor/hamertoni
kasrob1,species,Kalahari Scrub-Robin,Cercotrichas paena
bbsrob1,species,Brown-backed Scrub-Robin,Cercotrichas hartlaubi
rbsrob1,species,Red-backed Scrub-Robin,Cercotrichas leucophrys
rebscr1,group (polytypic),Red-backed Scrub-Robin (White-winged),Cercotrichas leucophrys [leucoptera Group]
rebscr2,group (polytypic),Red-backed Scrub-Robin (Red-backed),Cercotrichas leucophrys [leucophrys Group]
scrub-1,spuh,scrub-robin sp.,Cercotrichas sp.
indrob1,species,Indian Robin,Copsychus fulicatus
magrob,species,Oriental Magpie-Robin,Copsychus saularis
orimar1,group (polytypic),Oriental Magpie-Robin (Oriental),Copsychus saularis [saularis Group]
orimar2,group (polytypic),Oriental Magpie-Robin (Black),Copsychus saularis [amoenus Group]
rutsha2,species,Rufous-tailed Shama,Copsychus pyrropygus
mamrob1,species,Madagascar Magpie-Robin,Copsychus albospecularis
madmar1,group (monotypic),Madagascar Magpie-Robin (Black-bellied),Copsychus albospecularis albospecularis
madmar2,group (monotypic),Madagascar Magpie-Robin (White-bellied),Copsychus albospecularis inexspectatus
madmar3,group (monotypic),Madagascar Magpie-Robin (White-winged),Copsychus albospecularis pica
semrob1,species,Seychelles Magpie-Robin,Copsychus sechellarum
phimar1,species,Philippine Magpie-Robin,Copsychus mindanensis
whrsha,species,White-rumped Shama,Copsychus malabaricus
whrsha1,group (polytypic),White-rumped Shama (White-rumped),Copsychus malabaricus [malabaricus Group]
whrsha3,group (polytypic),White-rumped Shama (Barusan),Copsychus malabaricus [melanurus Group]
whrsha2,group (polytypic),White-rumped Shama (White-crowned),Copsychus malabaricus stricklandii/barbouri
andsha1,species,Andaman Shama,Copsychus albiventris
whbsha1,species,White-browed Shama,Copsychus luzoniensis
vissha1,species,Visayan Shama,Copsychus superciliaris
whvsha1,species,White-vented Shama,Copsychus niger
blasha1,species,Black Shama,Copsychus cebuensis
whgfly1,species,White-gorgeted Flycatcher,Anthipes monileger
rubfly3,species,Rufous-browed Flycatcher,Anthipes solitaris
whbsho1,species,Nilgiri Sholakili,Sholicola major
whbsho3,species,White-bellied Sholakili,Sholicola albiventris
matfly2,species,Matinan Flycatcher,Cyornis sanfordi
blffly1,species,Blue-fronted Flycatcher,Cyornis hoevelli
tibfly2,species,Timor Blue Flycatcher,Cyornis hyacinthinus
whtfly2,species,White-tailed Flycatcher,Cyornis concretus
rubfly1,species,R?ck's Blue Flycatcher,Cyornis ruckii
blbfly3,species,Blue-breasted Flycatcher,Cyornis herioti
bubfly1,group (monotypic),Blue-breasted Flycatcher (Blue-breasted),Cyornis herioti herioti
bubfly2,group (monotypic),Blue-breasted Flycatcher (Rufous-breasted),Cyornis herioti camarinensis
habfly1,species,Hainan Blue Flycatcher,Cyornis hainanus
wbbfly1,species,White-bellied Blue Flycatcher,Cyornis pallidipes
pacblf1,species,Pale-chinned Blue Flycatcher,Cyornis poliogenys
pabfly2,species,Pale Blue Flycatcher,Cyornis unicolor
pabfly3,group (monotypic),Pale Blue Flycatcher (Unicolored),Cyornis unicolor unicolor
pabfly4,group (monotypic),Pale Blue Flycatcher (Diao Luo),Cyornis unicolor diaoluoensis
pabfly5,group (monotypic),Pale Blue Flycatcher (Hartert's),Cyornis unicolor harterti
butfly1,species,Blue-throated Flycatcher,Cyornis rubeculoides
butfly2,species,Chinese Blue Flycatcher,Cyornis glaucicomans
bltfly2,slash,Blue-throated/Chinese Blue Flycatcher,Cyornis rubeculoides/glaucicomans
larblf1,species,Large Blue Flycatcher,Cyornis magnirostris
hibfly1,species,Hill Blue Flycatcher,Cyornis banyumas
hibfly2,group (polytypic),Hill Blue Flycatcher (Hill),Cyornis banyumas [whitei Group]
hibfly3,group (polytypic),Hill Blue Flycatcher (Javan),Cyornis banyumas banyumas/ligus
hibfly4,group (monotypic),Hill Blue Flycatcher (Dayak),Cyornis banyumas montanus
y01092,slash,Large/Hill Blue Flycatcher,Cyornis magnirostris/banyumas
merjuf1,form,Meratus Jungle-Flycatcher (undescribed form),Cyornis [undescribed Meratus form]
lobblf1,species,Sunda Blue Flycatcher,Cyornis caerulatus
mabfly1,species,Malaysian Blue Flycatcher,Cyornis turcosus
pabfly1,species,Palawan Blue Flycatcher,Cyornis lemprieri
bobfly2,species,Bornean Blue Flycatcher,Cyornis superbus
tibfly3,species,Tickell's Blue Flycatcher,Cyornis tickelliae
x00927,hybrid,Pale-chinned x Tickell's Blue Flycatcher (hybrid),Cyornis poliogenys x tickelliae
y01069,slash,Blue-throated/Tickell's Blue Flycatcher,Cyornis rubeculoides/tickelliae
tibfly4,species,Indochinese Blue Flycatcher,Cyornis sumatrensis
mabfly2,species,Mangrove Blue Flycatcher,Cyornis rufigastra
